Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
2017,Y,1370,2.77,-1.47,1.3,28-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2017,T,1370.01,2.28,-1.62,0.66,28-May-2017,30-Sep-2017,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,AU,619,-0.46,-7.07,-7.53,25-May-2018,02-Oct-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,N,1004,1.31,-4.07,-2.75,25-May-2018,02-Oct-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,B,1063,1.49,-3.59,-2.11,25-May-2018,02-Oct-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,S,1235,2.42,-4.06,-1.65,25-May-2018,02-Oct-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,C,1295,2.2,-2.43,-0.23,25-May-2018,02-Oct-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,Y,1370,2.51,-2.27,0.24,25-May-2018,02-Oct-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,T,1370.01,2.27,-2.59,-0.33,25-May-2018,02-Oct-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,AU,619,-0.49,-8.93,-9.42,11-May-2019,19-Sep-2019,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,N,1004,1.2,-4.41,-3.2,11-May-2019,19-Sep-2019,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,B,1063,1.56,-4.43,-2.87,11-May-2019,19-Sep-2019,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,S,1235,3.45,-3.75,-0.3,11-May-2019,19-Sep-2019,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,C,1295,3.3,-3.08,0.22,11-May-2019,19-Sep-2019,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,Y,1370,3.96,-3.06,0.89,11-May-2019,19-Sep-2019,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,T,1370.01,3.31,-2.49,0.81,11-May-2019,19-Sep-2019,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,AU,619,-0.74,-7.84,-8.59,15-Apr-2020,19-Sep-2020,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,N,1004,1.14,-4.05,-2.9,15-Apr-2020,19-Sep-2020,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,B,1063,1.35,-4,-2.65,15-Apr-2020,19-Sep-2020,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,S,1235,1.97,-3.31,-1.34,15-Apr-2020,19-Sep-2020,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,C,1295,2.17,-2.14,0.03,15-Apr-2020,19-Sep-2020,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,Y,1370,2.46,-1.99,0.47,15-Apr-2020,19-Sep-2020,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,TU,1370.01,1.96,-2.1,-0.15,15-Apr-2020,19-Sep-2020,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2021,AU,587,-0.22,-7.58,-7.79,14-Apr-2021,19-Sep-2021,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2021,N,997,1.07,-3.98,-2.92,14-Apr-2021,19-Sep-2021,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2021,B,1056,1.18,-3.54,-2.36,14-Apr-2021,19-Sep-2021,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2021,S,1222,2.49,-2.7,-0.22,14-Apr-2021,19-Sep-2021,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2021,C,1295,2.21,-1.61,0.61,14-Apr-2021,19-Sep-2021,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2021,EC,1348,2.86,-0.88,1.98,14-Apr-2021,19-Sep-2021,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2021,Y,1369,2.69,-1.23,1.46,14-Apr-2021,19-Sep-2021,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2021,TU,1370,2.18,-1.74,0.44,14-Apr-2021,19-Sep-2021,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
