Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
2018,F,2351,2.71,-4.25,-1.55,23-Apr-2018,27-Sep-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,A,2381,3.14,-4.39,-1.25,23-Apr-2018,27-Sep-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,E,2454,2.68,-4,-1.32,23-Apr-2018,27-Sep-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,C,2457,3.08,-4.25,-1.17,23-Apr-2018,27-Sep-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,G,2479,2.87,-3.47,-0.6,23-Apr-2018,27-Sep-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2018,Z,2585,6.07,-3.08,2.99,23-Apr-2018,27-Sep-2018,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,F,2344,1.57,-5.08,-3.51,02-May-2019,25-Sep-2019,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,A,2375,2.14,-5.46,-3.32,02-May-2019,25-Sep-2019,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,E,2452,1.64,-4.88,-3.24,02-May-2019,25-Sep-2019,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,C,2456,2.31,-5.12,-2.81,02-May-2019,25-Sep-2019,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,G,2483,2.28,-5.32,-3.03,02-May-2019,25-Sep-2019,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2019,Z,2578,2.56,-1.75,0.81,02-May-2019,25-Sep-2019,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,F,2344,2.99,-4.41,-1.42,22-May-2020,10-Oct-2020,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,A,2375,2.76,-4.42,-1.66,22-May-2020,10-Oct-2020,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,E,2452,1.81,-5.63,-3.81,22-May-2020,10-Oct-2020,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,C,2456,2.65,-4.51,-1.86,22-May-2020,10-Oct-2020,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,G,2483,2.8,-3.15,-0.35,22-May-2020,10-Oct-2020,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2020,Z,2578,5.24,-3.28,1.95,22-May-2020,10-Oct-2020,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
